HC	UV
0	0.261088475934943	0.114611282255126
1	0.1347510682699	0.000496869720759217
2	0.112160058299381	0.0117923747060187
3	0.025174732518467	0.0430620424657988
4	0.0022856007154924	0.0652555566597105
5	0.0325284043857034	0.0295140614130975
6	0.0352777501739044	0.0177216867070787
7	0.0230216303951771	0.0250091092782139
8	0.00652555566597105	0.0208022789757859
9	0.00828116201265362	0.0133823578124482
10	0.00513432044784524	0.00632680777766736
11	0.0034449633972639	0.00145748451422704
12	0.000563119016860446	0.000331246480506145
